Shohei Ohtani
Aaron Judge
Mookie Betts
Freddie Freeman
Juan Soto
Mike Trout
Bryce Harper
Ronald Acuna Jr.
Fernando Tatis Jr.
Vladimir Guerrero Jr.
Bo Bichette
Julio Rodriguez
Bobby Witt Jr.
Gunnar Henderson
Adley Rutschman
Corbin Carroll
Elly De La Cruz
Jackson Chourio
Jackson Holliday
Wyatt Langford
Paul Skenes
Jackson Merrill
James Wood
Dylan Crews
Junior Caminero
Evan Carter
Josh Jung
Corey Seager
Marcus Semien
Adolis Garcia
Jose Altuve
Alex Bregman
Kyle Tucker
Yordan Alvarez
Jeremy Pena
Framber Valdez
Justin Verlander
Max Scherzer
Clayton Kershaw
Gerrit Cole
Jacob deGrom
Spencer Strider
Zack Wheeler
Aaron Nola
Trea Turner
Kyle Schwarber
J.T. Realmuto
Bryson Stott
Alec Bohm
Pete Alonso
Francisco Lindor
Kodai Senga
Brandon Nimmo
Francisco Alvarez
Matt Olson
Austin Riley
Ozzie Albies
Michael Harris II
Chris Sale
Manny Machado
Xander Bogaerts
Ha-Seong Kim
Yu Darvish
Luis Arraez
Rafael Devers
Triston Casas
Jarren Duran
Roman Anthony
Kristian Campbell
Marcelo Mayer
Masataka Yoshida
Anthony Volpe
Jasson Dominguez
Giancarlo Stanton
Carlos Rodon
Jazz Chisholm Jr.
Cal Raleigh
Logan Gilbert
George Kirby
Luis Castillo
Bryan Woo
Randy Arozarena
Jose Ramirez
Steven Kwan
Emmanuel Clase
Tanner Bibee
Chase DeLauter
Riley Greene
Spencer Torkelson
Tarik Skubal
Colt Keith
Kerry Carpenter
Carlos Correa
Byron Buxton
Royce Lewis
Pablo Lopez
Joe Ryan
Walker Jenkins
Brooks Lee
Luis Robert Jr.
Andrew Vaughn
Colson Montgomery
Salvador Perez
Cole Ragans
Vinnie Pasquantino
Christian Yelich
William Contreras
Freddy Peralta
Jacob Misiorowski
Seiya Suzuki
Dansby Swanson
Ian Happ
Nico Hoerner
Pete Crow-Armstrong
Matt Shaw
Shota Imanaga
Nolan Arenado
Paul Goldschmidt
Masyn Winn
Jordan Walker
Ivan Herrera
Oneil Cruz
Bryan Reynolds
Ke'Bryan Hayes
Konnor Griffin
Termarr Johnson
Hunter Greene
Matt McLain
Noelvi Marte
Spencer Steer
Chase Burns
Ketel Marte
Zac Gallen
Gabriel Moreno
Nolan Schanuel
Zach Neto
Logan O'Hoppe
Mike Trout
Brent Rooker
Lawrence Butler
Nick Kurtz
Jacob Wilson
Mason Miller
Josh Naylor
Ezequiel Tovar
Brenton Doyle
Kris Bryant
Charlie Condon
Jung Hoo Lee
Logan Webb
Matt Chapman
Rafael Devers
Kyle Harrison
Bryce Eldridge
Yoshinobu Yamamoto
Tyler Glasnow
Will Smith
Teoscar Hernandez
Max Muncy
Roki Sasaki
Blake Snell
Andy Pages
Dalton Rushing
CJ Abrams
MacKenzie Gore
Keibert Ruiz
Josh Bell
Kyle Stowers
Xavier Edwards
Sandy Alcantara
Eury Perez
Agustin Ramirez
Vladimir Guerrero
George Springer
Kevin Gausman
Alek Manoah
Jose Berrios
Cedric Mullins
Jordan Westburg
Colton Cowser
Samuel Basallo
Coby Mayo
Grayson Rodriguez
Corbin Burnes
Shane McClanahan
Yandy Diaz
Brandon Lowe
Carson Williams
Wander Franco
Babe Ruth
Lou Gehrig
Ty Cobb
Honus Wagner
Cy Young
Walter Johnson
Christy Mathewson
Jackie Robinson
Mickey Mantle
Willie Mays
Hank Aaron
Ted Williams
Joe DiMaggio
Stan Musial
Roberto Clemente
Sandy Koufax
Bob Gibson
Yogi Berra
Roy Campanella
Duke Snider
Ernie Banks
Frank Robinson
Brooks Robinson
