Tiger Woods
Jack Nicklaus
Arnold Palmer
Gary Player
Ben Hogan
Sam Snead
Bobby Jones
Byron Nelson
Walter Hagen
Gene Sarazen
Tom Watson
Lee Trevino
Seve Ballesteros
Nick Faldo
Greg Norman
Phil Mickelson
Ernie Els
Vijay Singh
Rory McIlroy
Scottie Scheffler
Jon Rahm
Brooks Koepka
Dustin Johnson
Jordan Spieth
Justin Thomas
Xander Schauffele
Collin Morikawa
Patrick Cantlay
Viktor Hovland
Ludvig Aberg
Tommy Fleetwood
Shane Lowry
Matt Fitzpatrick
Tyrrell Hatton
Wyndham Clark
Max Homa
Tony Finau
Sam Burns
Hideki Matsuyama
Cameron Smith
Adam Scott
Jason Day
Bryson DeChambeau
Joaquin Niemann
Sergio Garcia
Justin Rose
Rickie Fowler
Bubba Watson
Zach Johnson
Jim Furyk
Keegan Bradley
Webb Simpson
Patrick Reed
Tom Kim
Sungjae Im
Si Woo Kim
Min Woo Lee
Cameron Young
Sahith Theegala
Russell Henley
Brian Harman
Jordan Spieth
Akshay Bhatia
Nick Dunlap
Nicolai Hojgaard
Rasmus Hojgaard
Robert MacIntyre
Aaron Rai
Sepp Straka
Corey Conners
Taylor Pendrith
Nick Taylor
Adam Hadwin
Mackenzie Hughes
Denny McCarthy
Chris Kirk
Billy Horschel
Harris English
Kevin Kisner
Kevin Na
Lucas Glover
Stewart Cink
Davis Love III
Fred Couples
David Duval
Paul Azinger
Payne Stewart
Curtis Strange
Hale Irwin
Raymond Floyd
Johnny Miller
Tom Kite
Ben Crenshaw
Hal Sutton
Mark O'Meara
Tom Lehman
Corey Pavin
Larry Nelson
Lanny Wadkins
Fuzzy Zoeller
Craig Stadler
Mark Calcavecchia
John Daly
Colin Montgomerie
Padraig Harrington
Darren Clarke
Lee Westwood
Ian Poulter
Luke Donald
Henrik Stenson
Martin Kaymer
Graeme McDowell
Francesco Molinari
Bernhard Langer
Jose Maria Olazabal
Sandy Lyle
Ian Woosnam
Retief Goosen
Louis Oosthuizen
Charl Schwartzel
Trevor Immelman
Angel Cabrera
Geoff Ogilvy
Stuart Appleby
Aaron Baddeley
Marc Leishman
KJ Choi
Y.E. Yang
Danny Willett
Jimmy Walker
Jason Dufner
Gary Woodland
Brandt Snedeker
Kevin Streelman
Matt Kuchar
Charley Hoffman
Steve Stricker
Kenny Perry
Mike Weir
Chad Campbell
Hunter Mahan
Anthony Kim
Camilo Villegas
Tommy Armour
Julius Boros
Billy Casper
Tony Lema
Ken Venturi
Gene Littler
Doug Ford
Cary Middlecoff
Lloyd Mangrum
Jimmy Demaret
Horton Smith
Craig Wood
Ralph Guldahl
Denny Shute
Harry Vardon
Old Tom Morris
Young Tom Morris
Francis Ouimet
Peter Thomson
Bobby Locke
Roberto De Vicenzo
Tony Jacklin
Nick Price
Mark McCumber
Steve Elkington
Ernie Els
Jesper Parnevik
Thomas Bjorn
Miguel Angel Jimenez
Paul Casey
Tommy Gainey
Pat Perez
Charles Howell III
Ryan Palmer
Harold Varner III
Talor Gooch
Abraham Ancer
Carlos Ortiz
Dean Burmester
Branden Grace
Thomas Pieters
Marcus Armitage
Laurie Canter
Eugenio Chacarra
Anirban Lahiri
Peter Uihlein
Kalle Samooja
Jinichiro Kozuma
Ryo Ishikawa
Shigeki Maruyama
Isao Aoki
Masashi Ozaki
Annika Sorenstam
Nelly Korda
Lydia Ko
Inbee Park
Lexi Thompson
Jin Young Ko
Nancy Lopez
Babe Didrikson Zaharias
Mickey Wright
Kathy Whitworth
Patty Berg
Louise Suggs
Juli Inkster
Karrie Webb
Se Ri Pak
Lorena Ochoa
Yani Tseng
Paula Creamer
Michelle Wie
Stacy Lewis
Cristie Kerr
Brooke Henderson
Minjee Lee
Hannah Green
Atthaya Thitikul
Charley Hull
Georgia Hall
Celine Boutier
Leona Maguire
Ariya Jutanugarn
Danielle Kang
Jessica Korda
Rose Zhang
Lilia Vu
Allisen Corpuz
Ruoning Yin
Hyo Joo Kim
Sei Young Kim
So Yeon Ryu
Amy Yang
Megan Khang
Nasa Hataoka
Ayaka Furue
Yuka Saso
Jeeno Thitikul
Andrea Lee
Angel Yin
Brittany Lincicome
Morgan Pressel
Natalie Gulbis
Laura Davies
Beth Daniel
Pat Bradley
Betsy King
Dottie Pepper
Meg Mallon
Patty Sheehan
Amy Alcott
JoAnne Carner
Hollis Stacy
Rosie Jones
Sandra Haynie
Carol Mann
Jan Stephenson
Hal Sutton
Jay Haas
Bill Haas
Scott Verplank
Chris DiMarco
Justin Leonard
Tom Pernice Jr.
Kirk Triplett
Jerry Kelly
Steve Flesch
Rocco Mediate
Jeff Sluman
Loren Roberts
Scott Hoch
Bob Tway
Mark Brooks
Steve Jones
Lee Janzen
Scott Simpson
Andy North
Jerry Pate
Hubert Green
Dave Stockton
Gil Morgan
Bruce Lietzke
Calvin Peete
Lee Elder
Charlie Sifford
Tom Weiskopf
Johnny Goodman
Gene Sauers
Brendon Todd
Patrick Rodgers
Beau Hossler
Kurt Kitayama
Eric Cole
J.T. Poston
Keith Mitchell
Adam Schenk
Emiliano Grillo
Mito Pereira
Alex Noren
Ryan Fox
Victor Perez
Thorbjorn Olesen
Matthieu Pavon
Tom McKibbin
Tom Hoge
Andrew Novak
Davis Thompson
Jake Knapp
Stephan Jaeger
Christiaan Bezuidenhout
Erik van Rooyen
Garrick Higgo
Justin Suh
Chris Gotterup
Michael Kim
Justin Lower
Max Greyserman
Nico Echavarria
Taylor Moore
Ben Griffin
